rank,name,score,max_beta_to_spy_126day,min_beta_to_spy_126day,max_cumulative_common_returns,min_cumulative_common_returns,max_cumulative_specific_returns,min_cumulative_specific_returns,max_exposure_basic_materials,min_exposure_basic_materials,max_exposure_communication_services,min_exposure_communication_services,max_exposure_consumer_cyclical,min_exposure_consumer_cyclical,max_exposure_consumer_defensive,min_exposure_consumer_defensive,max_exposure_energy,min_exposure_energy,max_exposure_financial_services,min_exposure_financial_services,max_exposure_health_care,min_exposure_health_care,max_exposure_industrials,min_exposure_industrials,max_exposure_momentum,min_exposure_momentum,max_exposure_real_estate,min_exposure_real_estate,max_exposure_short_term_reversal,min_exposure_short_term_reversal,max_exposure_size,min_exposure_size,max_exposure_technology,min_exposure_technology,max_exposure_utilities,min_exposure_utilities,max_exposure_value,min_exposure_value,max_exposure_volatility,min_exposure_volatility,max_leverage,min_leverage,max_max_drawdown,min_max_drawdown,max_max_position_concentration,min_max_position_concentration,max_net_dollar_exposure,min_net_dollar_exposure,max_sharpe_126day,min_sharpe_126day,max_total_returns,min_total_returns,max_traded_in_qtradable_stocks_us,min_traded_in_qtradable_stocks_us,max_turnover,min_turnover,max_volatility_126day,min_volatility_126day
11,Gray Cardinal,0.942833501269881,0.17568886684900006,-0.009018252305751186,0.09976231984505879,-0.0074237758370666596,0.09868903512535754,-0.014258916560078161,0.07239698549207525,-0.06755241367191986,0.012827534912105677,-0.035392650984073744,0.17571177288017836,-0.006960166727085246,0.030763508512012604,-0.04585652825538712,0.08606907496632205,-0.20283949181039024,0.14287103364308748,-0.05054979246573781,0.18561220591288188,-0.15968661359972341,0.12255045463430421,-0.09822295303947597,0.4255959678820851,-0.14704556541806588,0.01384509389480226,-0.18287213868280053,0.40553901239290857,-0.42745862137802654,0.373426689637222,-0.24757505384047643,0.1878533972876463,-0.03277121968918509,0.009570175427255922,-0.11686214179003189,-0.04254677805035595,-0.4161676216182879,0.4395165893713029,-0.40269069440736543,0.9936932910719466,0.0,0.0,-0.04020272704426587,0.007975863117283063,0.0,0.02023166608340848,-0.014620683221752258,3.216714772586922,-0.5677118369240782,0.18233449337765295,-0.014795800252164537,1.0000000000000013,0.9856377108951578,0.9485003423519236,0.0,0.06697579121967628,0.04703867274686689
12,Dark Green Woodpecker,0.9400768753208696,0.1442366168967317,-0.2877492148442935,0.028650956138926098,-0.02951514384301579,0.11923442321712141,-0.024125564224128593,0.12568274771060464,-0.1862268763192192,0.06576411861754923,-0.043933764871332236,0.14161512534810283,-0.11517784257297498,0.03970862668313546,-0.047564983343720744,0.1859007971640778,-0.18984448679320676,0.10985133577980613,-0.0954482790651485,0.1897079793958919,-0.18508053854701426,0.0805295173174282,-0.15834385480343355,0.40541083761269875,-0.3931366056760642,0.03821018806988626,-0.05505785427387272,-0.052739331326329325,-0.4344249621643122,0.27819652572539394,-0.412372447984809,0.18329751764851138,-0.1511786211844224,0.013254758389342727,-0.028407082333705265,0.41290453078285966,-0.38638189900246656,0.4530556191702505,-0.41332076031209325,1.04034035130909,0.9600019101413108,-0.004223703477497338,-0.060289918660385154,0.013961195190117815,0.01005430688965186,0.02293217122431113,-0.008633280557848195,3.3915401540887227,-1.5241847793810572,0.14723168483117544,-0.03464672172932515,1.0000000000000004,0.9725065970174323,1.0057550646489182,0.21998306033957757,0.07866056446297737,0.06181140302870975
13,Cerise Gorilla,0.9224038300588744,0.05003686842223137,-0.23327537245797111,0.013578380224198439,-0.019130657716839528,0.09033329755487896,-0.011009944451566,0.0295785122611109,-0.07480074944810913,0.004178120517263197,-0.0120271296937032,0.059193464084454944,-0.04848825931958992,0.043015941895797175,-0.01726795434931647,0.08168228687811666,-0.09014387275600205,0.03847259321064717,-0.03662066407686065,0.08243634263901554,-0.06480002940031472,0.03276861238691896,-0.04939728380771353,-0.006316310111978179,-0.2803485992175092,-0.001428705466772479,-0.02945186586372325,0.3199078320337971,-0.29790775057109636,0.37448242109547336,0.03167987382884708,0.0810915244618214,-0.05371187754076161,0.005991006939382406,-0.008534124983240696,0.023727866518798907,-0.38934751580876187,0.04103217443159605,-0.39248479990980245,1.02663861235768,0.8855692411235572,-0.002203187725997395,-0.03168934054814848,0.015405465430403064,0.004590035025082698,0.015248389801210818,-0.016578161807634256,3.5148527987841005,-0.6214938130263503,0.08855011364433873,-0.02258787391531003,0.9999999999999996,0.9471633237230992,0.9404362379746377,0.01930376352002689,0.035701747790630775,0.020288700743480024
14,Rose Sting Ray,0.9161367950552151,0.09002787192539297,-0.11622359439362256,0.07877305862438821,-0.009003799473240148,0.05202581399272499,-0.021977121403875755,0.08506765470371425,-0.038657967803177845,0.027596799614974625,-0.018176260865853323,0.1852861996621173,0.0153787944495207,0.026184224783059908,-0.025582654413888507,-0.08017249775797258,-0.191279276734617,0.18401341791691087,0.03410639014904088,0.10245215402492024,-0.18431566933044638,0.06241733700164385,-0.09364110100958098,0.11416133834432457,-0.06440032187304483,0.008110156035918456,-0.10865445194517545,0.3001059870560791,-0.2710029139051606,0.07134201269869232,-0.05273287357350688,0.07821161483979468,-0.07464354144257224,-0.011314497846147156,-0.06513567740421888,0.09094830804298015,0.012513326735726948,0.027815815728369338,-0.23384066909849724,1.055110267036869,0.9711478691222397,-0.00023947044695120213,-0.05386404691061011,0.009817363894590602,0.006751428151894506,0.03502713596319437,-0.026615494429613373,2.247386189412933,-2.290332994746213,0.08229839336666189,-0.017582544565472036,1.0000000000000016,0.9933354894064657,1.024878860915644,0.0,0.06698641013952503,0.04108267477711741
15,Scarlet Dove,0.9127439824447241,0.0583050103114053,-0.1502582223282104,0.03157674333561866,-0.003724222929417653,0.06307026113166536,-0.03363941403195736,0.11475537137356882,-0.028835849814956575,0.025462143578000824,-0.025144732790961685,0.1842348628767403,0.015230375010002777,0.07343407804473298,-0.0051492877864473775,0.07143221603779155,-0.19627302794311297,0.04825445012638744,-0.028007657952739996,0.016110696492777833,-0.2005300696246536,0.04914507918766442,-0.12842941857737766,0.04535169391311185,-0.3874103060256276,0.0,0.0,0.436486389701703,-0.054738337894392225,0.39113071339771804,-0.23624232186390226,0.16719682098626903,-0.06852227018642269,0.0542626726265347,-0.09906305541799626,0.38541265668167873,-0.2997380502177963,0.002630418012434829,-0.48994424174616874,1.0130500723921245,0.9427502348194875,-0.001282948817184888,-0.08739578565543607,0.03963289936708981,0.010229601792047047,0.05705821693696525,-0.022963187055436388,3.1022920779001577,-1.8067309413512935,0.07854116010313827,-0.01857894364278123,1.000000000000001,0.9958542935445504,1.3603079245015954,0.0,0.06786037108185115,0.042282855829157986
16,Blue-Violet Peacock,0.8450715655041974,0.0,-0.2619777511677954,0.021733821526077834,-0.015208508739393278,0.23332778479043448,-0.06814753340969948,0.06729443153224379,-0.18648164921345375,0.057316402813362116,-0.0733896060984787,0.00011035645987010528,-0.0342205144578687,0.08772049562845272,-0.07645490631803377,0.18078728620232792,-0.18492990081959734,0.05674307267526321,-0.13613030201258178,0.13459221915550793,-0.20280969710575966,0.18255409927207453,-0.09146659563344649,0.41609965848837194,-0.522479956579021,0.08679862777901352,-0.043367491491493174,0.6021409217592106,-0.37310330412516046,-0.0901313645966341,-0.4387214445931644,0.0010312853711013246,0.0,0.03753322801988604,-0.03459541017170689,0.457146876294098,-0.37359041615374394,0.16489330630793492,-0.5065153610204187,1.0708165290709253,0.0,0.0,-0.06435258458820575,0.05310817320660828,0.0,0.05675356435909197,-0.068109129249391,4.063630856760926,-1.372260313257634,0.2313728278970386,-0.06165824884616766,1.0000000000000027,0.9261512583651462,0.9610896206805567,0.0,0.08728626346164695,0.0631911957772518
17,Pearl Sting Ray,0.8359869944477194,0.1897926923303126,-0.10087111585683534,0.013856991393180973,-0.02384856356171361,0.13215164691598646,-0.06815222094666551,0.1840164264803387,-0.1265543170486478,0.03176237466296096,-0.02896697061381327,0.1845404166330086,-0.17670150853187844,0.05754014668570189,-0.0484186546844262,0.1944089457541579,-0.2056335030333757,0.12378993229665383,-0.13721557368402942,0.22219479526604036,-0.19794920830413795,0.18083485918043032,-0.13829052549788806,0.20337814509822277,-0.26796003753939435,0.04615985003653102,-0.07917366748221077,0.6586617406942372,-0.13540230959629426,0.33959278620815186,-0.2903287039812051,0.18879472296895694,-0.18655542031835987,0.03308713308838556,-0.03242393463039442,0.3683324333645257,-0.35731069643388785,0.40306209167560686,-0.6031577894025358,1.048676867669341,0.0,0.0,-0.10055598239471403,0.04244324743437889,0.0,0.04526630712212415,-0.028410268151738194,3.280695886225163,-2.621079252566673,0.1325973553977,-0.07746877018899334,1.0000000000000004,0.968882193357033,1.9413779202532155,0.0,0.07509047401823246,0.05478378145031046
18,Cerulean Squirrel,0.8303276110171898,0.31264744848021553,-0.22350738440706555,0.07887934444192313,-0.02034197583743047,0.3168421647013502,-0.12329020995035789,0.20377149622386675,-0.20651510357643163,0.05114827248311563,-0.06855936277454637,0.19628371289548813,-0.1853736174376687,0.07711867469169745,-0.05777511670195408,0.20593848189917252,-0.21167106340631986,0.09188351098235598,-0.08607442927838767,0.22319725775186955,-0.20379184945311157,0.1520576829840196,-0.17205446992020776,0.49295585259513525,-0.17547800036541106,0.06839281309628646,-0.08404412945948023,0.8025979893380027,-0.19924733627907143,0.37960607174391564,-0.3657017602064754,0.217130193058967,-0.18972895236466847,0.04943229045663206,-0.0629261400923451,0.4976639684592759,-0.48849995399138524,0.5057726248214298,-0.47598828694395034,1.1302050197135844,0.0,0.0,-0.15226305374155977,0.0701902134744053,0.0,0.04504700129522874,-0.03827498644816545,4.168666979266108,-2.28447674742287,0.41960026552917995,-0.13864033197525205,1.0000000000000004,0.9381844454224865,1.4258697501544313,0.0,0.12491041047899965,0.09062009271783203
19,Persian Blue Hippopotamus,0.8112478003180739,0.19707237223420135,-0.2635211455186659,0.06856692200123482,-0.03950885696470596,0.09819462209131458,-0.1047229028947868,0.0,-0.1878158533209579,0.04014000891687509,-0.059092966566860194,0.09919892470309671,-0.09547321690048591,0.0,-0.07482612638286397,-0.027993137812347486,-0.19775243631387318,0.04174283179496846,-0.14722065798125497,0.19499649497231208,0.03138771750228953,0.0,-0.18682872494567804,0.5107228807948752,-0.40134580555670485,0.0,-0.05136447122986714,0.5671830407220089,-0.6254906309073569,0.3958988251816148,-0.1063388625355442,0.2169417940804289,0.054351460755388534,0.0,-0.04102944500268016,0.13809462253091628,-0.4477791090476101,0.24147351527083183,-0.41540303954917296,1.0765451792734198,0.9836821342950797,-0.0017409713875785825,-0.1500007187785128,0.05697546359140531,0.03951196004816316,0.015441213860637992,-0.023607140634616757,3.0115460765106725,-0.7867793215557322,0.16385114993101757,-0.13241836064757828,1.0000000000000004,0.9825044788804447,1.040105970909827,0.011098917642062547,0.14191133313419246,0.09395625886696042
20,Turquoise Dolphin,0.7744530904300957,0.028510570765078437,-0.29518816930222586,0.023985079299366996,-0.04810831410790328,0.3889215774310013,-0.002749774981235187,0.11672919753906078,-0.15891766398607252,0.05291874274231647,-0.028184075780351755,0.1790321713599509,-0.13770459106204663,0.05759747348160095,-0.039234803125869425,0.16189496938496947,-0.18747792636318256,0.11038798458651322,-0.0436378793418285,0.048905106568567176,-0.20700390911403155,0.12668999860583668,-0.1785983784027508,0.30032581372203837,-0.43489723641034067,0.02375716457286058,-0.012228097986593883,0.582983447223134,-0.3685257642313497,0.034130161663430324,-0.4403306638513415,0.18889179683395324,-0.17852936620622714,0.02178753749685594,-0.008092054813140657,0.44568629036300905,-0.44821085521745857,0.5965254534817606,-0.39434697182080397,1.0358553894870461,0.8419902384178608,0.0,-0.08847532020844734,0.061305822431721446,0.04199947429097087,0.024782760696962648,-0.04080206949642914,2.83270417535557,-1.211560989396438,0.36436550729141515,0.0031106094650887872,1.0000000000000004,0.9642523294206107,0.9443584483736008,0.02657995812680106,0.1030707901861061,0.07276658320050255
