rank,name,score,max_beta_to_spy_126day,min_beta_to_spy_126day,max_cumulative_common_returns,min_cumulative_common_returns,max_cumulative_specific_returns,min_cumulative_specific_returns,max_exposure_basic_materials,min_exposure_basic_materials,max_exposure_communication_services,min_exposure_communication_services,max_exposure_consumer_cyclical,min_exposure_consumer_cyclical,max_exposure_consumer_defensive,min_exposure_consumer_defensive,max_exposure_energy,min_exposure_energy,max_exposure_financial_services,min_exposure_financial_services,max_exposure_health_care,min_exposure_health_care,max_exposure_industrials,min_exposure_industrials,max_exposure_momentum,min_exposure_momentum,max_exposure_real_estate,min_exposure_real_estate,max_exposure_short_term_reversal,min_exposure_short_term_reversal,max_exposure_size,min_exposure_size,max_exposure_technology,min_exposure_technology,max_exposure_utilities,min_exposure_utilities,max_exposure_value,min_exposure_value,max_exposure_volatility,min_exposure_volatility,max_leverage,min_leverage,max_max_drawdown,min_max_drawdown,max_max_position_concentration,min_max_position_concentration,max_net_dollar_exposure,min_net_dollar_exposure,max_sharpe_126day,min_sharpe_126day,max_total_returns,min_total_returns,max_traded_in_qtradable_stocks_us,min_traded_in_qtradable_stocks_us,max_turnover,min_turnover,max_volatility_126day,min_volatility_126day
1,Cerulean Squirrel,1.393838228370753,0.23134734525474923,-0.22350738440706555,0.06950872221297999,-0.02034197583743047,0.2937476445737963,-0.12329020995035789,0.20377149622386675,-0.20651510357643163,0.05114827248311563,-0.06855019748080972,0.19628371289548813,-0.1853736174376687,0.07711867469169745,-0.051363642915333456,0.20593848189917252,-0.21167106340631986,0.09188351098235598,-0.08607442927838767,0.22319725775186955,-0.20379184945311157,0.1520576829840196,-0.17205446992020776,0.4838096090128768,-0.17547800036541106,0.06839281309628646,-0.08404412945948023,0.8025979893380027,-0.19280464121379756,0.37960607174391564,-0.3657017602064754,0.217130193058967,-0.1894645397912219,0.04943229045663206,-0.0629261400923451,0.4976639684592759,-0.48849995399138524,0.5032302335089096,-0.47598828694395034,1.1302050197135844,0.0,0.0,-0.15226305374155977,0.0701902134744053,0.0,0.03596351712979547,-0.03827498644816545,4.284707387575954,-2.28447674742287,0.3829332253776596,-0.13864033197525205,1.0000000000000004,0.9381844454224865,1.4258697501544313,0.0,0.12491041047899965,0.09062009271783203
2,Mauve Chimpanzee,1.1807362550161493,0.16482996432125963,-0.027439055887829453,0.03450447919621835,-0.017308324871601055,0.08889154954879963,-0.026570245388022773,0.09046976808384767,-0.08917066411152999,0.0317493651514414,-0.045330193383733654,0.11272070376622234,-0.15206137404757844,0.03176243484954723,-0.04134301163985889,0.1847510510517455,-0.1855730668657964,0.16933160094855085,-0.17731691169347577,0.1888635868504246,-0.182062091829774,0.11738708726369293,-0.17970837232443915,0.3926364248390505,-0.23924205268415186,0.17088101101771536,-0.09894264841556466,0.6416495789514347,0.09785321781220682,0.3519446300061981,-0.21902859261814014,0.15631819945015396,-0.18488586957882985,0.08265378264343055,-0.07478958175587946,0.4092161074811442,-0.39985749962698863,0.38612420034676936,-0.4087687941425341,0.9408366120397296,0.0,0.0,-0.033450645360148315,0.01630325761579539,0.0,0.04276724608235094,-0.038505169905470996,3.4543758125350803,-0.9683959664342005,0.1162740039711938,-0.0334506453601483,1.0000000000000007,0.9681766533246251,1.605265882073339,0.0,0.05169196961291871,0.04181382218526761
3,Ocher Hyena,1.0968325477290768,0.24100965231332777,-0.22586975059815778,0.04059493848467022,-0.005340366545029229,0.09000237762385055,-0.14823534736203947,0.18614961111647732,-0.18337936866536916,0.083338848984533,-0.07411784413945088,0.18790409061275284,-0.18669805313301605,0.1044740033853228,-0.07196991205972958,0.2044978930564484,-0.19520433256348288,0.07945505096790664,-0.13065587652003782,0.20768578444736482,-0.19789789469610483,0.1720688699762515,-0.18395458588756555,0.43277277986510027,-0.44060477671764176,0.06423420728992284,-0.04423830066094783,0.6203967138578914,-0.35965448990794424,0.39077822454914507,-0.42136590228785265,0.18802566641434051,-0.18573282748543968,0.060582340933281506,-0.04074284269177968,0.45514416136579877,-0.4574653831844472,0.47173644142709575,-0.4703550910080889,1.0527539818406297,0.6020505132646312,-0.002016933692235625,-0.13721725367020882,0.027900205526486324,0.01997309227992775,0.04947974945593117,-0.022208885106770843,3.6085799000752794,-2.538578826569405,0.13304701388340345,-0.13721725367020887,1.0000000000000004,0.9596235808656977,0.6065593756734675,0.506227219334791,0.10507567171638688,0.07242613364053367
4,Cream Beetle,1.01718080835295,0.17309495833895405,-0.13672748436172663,0.04639377595536209,-0.009187681499087552,0.2186640246490026,-0.008364915097557213,0.13759100594753085,-0.15961604480991898,0.04964207439629085,-0.0682187107774249,0.13550470446728563,-0.1761571356651687,0.06314076996029026,-0.04452166749910467,0.19822201234272546,-0.19830321089964925,0.10438289095537884,-0.15161958315688945,0.2195313930531714,-0.17370594648193088,0.09727180974027103,-0.19690658498629393,0.4155354053197053,-0.5932119370480171,0.04965653118055206,-0.041632478632292455,0.7111667334544827,-0.5420777494354821,0.4360203291071037,-0.45896175149034624,0.19508735487696377,-0.20979310523713005,0.019387312466189813,-0.032778731199402125,0.5147770813886681,-0.43043926329945537,0.6257771764036547,-0.44430013376031363,1.095927806635482,0.0,0.0,-0.09590553276517748,0.03846534203365137,0.0,0.05207361515078823,-0.027439165122068135,2.628937240387719,-2.1777782455902983,0.23390410011394036,-0.007668583148353503,1.0000000000000004,0.9306941849418822,1.932274531876866,0.0,0.09897133587900135,0.06909394523394317
5,Brown Sea Lion,0.9815721563615111,0.13362204089868773,-0.2531433873070439,0.051158864633871204,-0.06637772563593958,0.3018371194782703,-0.05599961270326925,0.0016016488340318859,-0.139758183587547,0.013277025903578623,-0.146822130184045,0.15391271622408542,-0.026289226117594808,0.056521039472463216,-0.07371717700579591,0.05905402549977451,-0.2257915648559244,0.12892305147271338,-0.009208979611325004,0.19380728356709323,-0.028218440101506273,0.07811616688133806,-0.06377452753039539,0.37123225523460174,-0.12035706742357297,0.05108651566773527,-0.028993878661005768,0.4051865874345818,-0.4062941306087568,0.48194122972269743,0.2632994329320798,0.1620546697025797,-0.05931979458095287,0.0,-0.011829714570181758,-0.24654506434693474,-0.5049706050505691,-0.18955852127799622,-0.6129384217996884,1.077569137099134,0.0,0.0,-0.08763720532581754,0.05729003951683813,0.0,0.05056419545794085,-0.0412911948452116,3.006158497772597,-1.7624896666190246,0.3513495621212883,-0.08293314437072763,1.0000000000000004,0.9231900659559694,0.9660870600427969,0.0,0.12115970710391467,0.07395180614612078
6,Blue Robin,0.9369430633839488,0.18557611191249163,-0.02165253328749054,0.06846698234565207,-0.012575764648592225,0.10146744457905865,-0.01027113269509139,0.024384614420301255,-0.09025491254112246,0.014424918735513832,-0.022439492104816588,0.0629509109933579,-0.08066358306646451,0.012816624538759576,-0.03256241123522227,0.057249395208381286,-0.1866407105772827,0.08149587864989223,-0.06147783346861809,0.18430518393549047,-0.10508078597794061,0.052592503996856645,-0.07369492623421905,0.39405845802860934,-0.09748687402069457,0.06470819445339883,-0.05759809106838527,0.48609301469074323,0.05496720546516084,0.20093719276258004,-0.3696911457164536,0.1817607288960715,-0.03468568169682666,0.009376454051719618,-0.026405860878430717,-0.023232610808917187,-0.37753176923509424,0.30257575857866226,-0.34956488609068803,1.0281920149529644,0.9639725159118733,-0.00022739705166003433,-0.03170531687984069,0.0036821319405474203,0.0025492357040085988,0.007467293335622744,-0.0060165726442932,5.124236403670613,-0.32484986875323174,0.1763859419326066,-0.02234580552244214,1.0000000000000018,0.992626873800074,0.9988670114859136,0.09117330968049517,0.04611115086429978,0.0324252300293463
7,Teal Mouse,0.9314124052481978,0.1901378493438589,-0.05974773725286222,0.08198365950294484,-0.007639014212192263,0.018026090768926695,-0.034558851566046545,0.07541052311658325,-0.02981725115608157,0.037864028449172735,-0.02576457936728843,0.05850529376571925,-0.09505670455560952,0.10548402356255268,-0.11440001123733598,0.07482129947376581,-0.1629536599949138,0.15185352461311485,-0.15265885281671565,0.10509285452997681,-0.10300146762056298,0.07778842477762934,-0.05240617638729064,0.1271568022614587,-0.35699570246228146,0.07704354110354052,-0.06431492540871689,0.6437345763934995,-0.47475782108826603,0.17582111646523269,-0.18388914284772007,0.14609139571944849,-0.05337710514954891,0.06276666053418893,-0.12835640151068037,0.2791701964869548,-0.26591111724914396,0.30571139919072043,-0.09145713567082918,1.071003813239384,1.016471884646336,-0.0007262528443457938,-0.03959316290439452,0.030012253614653688,0.0066024619361893565,0.0334301036575318,-0.029798800837519714,2.608965889148304,-1.2228149098281866,0.06718540351958002,-0.0007262528443457983,1.0000000000000016,0.9807192466949604,1.051095489825215,0.10087569910055659,0.04292800836481711,0.025325925581868143
8,Coral Ox,0.8769637752291437,0.1403018130962349,-0.09647036148553843,0.03364149432242125,-0.019949774692007427,0.2589505081108485,0.004518664412098916,0.02329989363228191,-0.019554320256309356,0.01840909241114644,-0.020920192149508958,0.16801596817990966,0.09656137521958871,0.07332375595827807,0.010935501973364358,0.04611452189108292,-0.018435167659199673,0.008893650943045643,-0.02951482088799094,-0.16253102600068425,-0.20212775546862616,0.027320914719878603,-0.013477647353526481,0.0071225549319524645,-0.35996393726577514,0.005712684323839998,-0.12346049847765281,0.2978627045966226,-0.34100501682767775,0.38969707610162013,-0.020162865520575023,0.05746304529410326,0.006413549711288709,0.0,0.0,-0.26298847744594744,-0.44633337025534203,-0.2598879601243289,-0.43454464277216887,1.0368137814667708,0.9444235443090984,0.0,-0.04385654074849893,0.017322040811526558,0.010034236771058355,0.012283507329401876,-0.009769885619559753,3.7542187350722163,-0.5438049546613839,0.281724873988185,-0.0017917302698988724,1.0000000000000009,0.9897091514370643,0.9884637615527486,0.0,0.06970153587534757,0.05027183672429403
9,Orange Possum,0.8663099165770172,0.14902848908380611,-0.21584678919557593,0.04905588329929955,-0.0394542268667788,0.11590114704390242,-0.03757275213945388,0.029220990684590078,-0.08671837516138355,0.002170769715342767,-0.04021234335742923,0.08688259081723801,-0.013479955945762043,0.010760719281874399,-0.028937162505486877,0.012301585001465044,-0.17099277133938875,0.06624855634613289,-0.030122351901113925,0.10379427633625003,-0.018617061310206216,0.06475044806575395,-0.013949975815125899,0.4160517571459985,0.05602048605459227,0.0010779922906498187,-0.07839309263842131,0.2408415072848313,-0.43463362478190926,0.3944034736665378,-0.06631275905213696,0.07132134473118382,-0.06146140027053189,0.0,-0.014755206350497924,-0.3278328945457295,-0.4117123851641354,-0.03478030986212364,-0.4245971397923888,1.0237855954760173,0.9620858520897551,-0.0014430505988110554,-0.07047271061985488,0.008139271513671291,0.005061324176112611,0.007906979877474218,-0.009139255430592217,3.0671929928849195,-2.5323999949100333,0.1615314878051899,-0.06943712973577121,1.000000000000001,0.9950540805388368,1.2610917231239915,0.031224739305893718,0.06262928616872042,0.04554538304498339
10,Scarlet Dove,0.861869823767613,0.0583050103114053,-0.1502582223282104,0.03157674333561866,-0.003724222929417653,0.05732735209543782,-0.03363941403195736,0.11475537137356882,-0.028835849814956575,0.025462143578000824,-0.025144732790961685,0.1842348628767403,0.015230375010002777,0.07343407804473298,-0.0051492877864473775,0.07143221603779155,-0.19627302794311297,0.04825445012638744,-0.028007657952739996,0.016110696492777833,-0.2005300696246536,0.04914507918766442,-0.12842941857737766,0.04535169391311185,-0.3874103060256276,0.0,0.0,0.436486389701703,-0.054738337894392225,0.36637169071667597,-0.23624232186390226,0.16719682098626903,-0.06852227018642269,0.0542626726265347,-0.09906305541799626,0.38541265668167873,-0.2997380502177963,0.002630418012434829,-0.48994424174616874,1.0130500723921245,0.9427502348194875,-0.001282948817184888,-0.08739578565543607,0.03963289936708981,0.010229601792047047,0.05705821693696525,-0.022963187055436388,2.938449654624056,-1.8067309413512935,0.07540710521710592,-0.01857894364278123,1.000000000000001,0.9958542935445504,1.3603079245015954,0.0,0.06786037108185115,0.042282855829157986
